category,title,creator,publication_year,description
movie,Bahubali: The Beginning,S.S. Rajamouli,2015,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people."
movie,Dead Awake,Phillip Guzman,2016,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.
movie,Bad Moms,Jon Lucas,2016,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
movie,Assassin's Creed,Justin Kurzel,2016,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society."
movie,Why Him?,John Hamburg,2016,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
movie,Nocturnal Animals,Tom Ford,2016,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
movie,X-Men: Apocalypse,Bryan Singer,2016,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
movie,Deadpool,Tim Miller,2016,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
movie,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."
movie,Captain America: Civil War,Anthony Russo,2016,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.
movie,Interstellar,Christopher Nolan,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
movie,Doctor Strange,Scott Derrickson,2016,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
movie,The Magnificent Seven,Antoine Fuqua,2016,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
movie,5- 25- 77,Patrick Read Johnson,2007,"Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything."
movie,Sausage Party,Greg Tiernan,2016,A sausage strives to discover the truth about his existence.
movie,Moonlight,Barry Jenkins,2016,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
movie,Don't Fuck in the Woods,Shawn Burkett,2016,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan."
movie,The Founder,John Lee Hancock,2016,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness."
movie,Lowriders,Ricardo de Montreuil,2016,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
movie,Miss Sloane,John Madden,2016,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
movie,Fallen,Scott Hicks,2016,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
movie,Star Trek Beyond,Justin Lin,2016,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
movie,The Last Face,Sean Penn,2016,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
movie,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
movie,Underworld: Blood Wars,Anna Foerster,2016,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
movie,Mother's Day,Garry Marshall,2016,Three generations come together in the week leading up to Mother's Day.
movie,John Wick,Chad Stahelski,2014,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
movie,The Dark Knight,Christopher Nolan,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
movie,Silence,Martin Scorsese,2016,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
movie,Don't Breathe,Fede Alvarez,2016,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
movie,Me Before You,Thea Sharrock,2016,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
movie,Their Finest,Lone Scherfig,2016,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
movie,Sully,Clint Eastwood,2016,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
movie,Batman v Superman: Dawn of Justice,Zack Snyder,2016,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
movie,The Autopsy of Jane Doe,André Øvredal,2016,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
movie,The Girl on the Train,Tate Taylor,2016,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
movie,Fifty Shades of Grey,Sam Taylor-Johnson,2015,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
movie,The Prestige,Christopher Nolan,2006,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
movie,Kingsman: The Secret Service,Matthew Vaughn,2014,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
movie,Patriots Day,Peter Berg,2016,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
movie,Mad Max: Fury Road,George Miller,2015,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
movie,Wakefield,Robin Swicord,2016,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.
movie,Deepwater Horizon,Peter Berg,2016,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history."
movie,The Promise,Terry George,2016,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
movie,Allied,Robert Zemeckis,2016,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
movie,A Monster Calls,J.A. Bayona,2016,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.
movie,Collateral Beauty,David Frankel,2016,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
movie,Zootopia,Byron Howard,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
movie,Pirates of the Caribbean: At World's End,Gore Verbinski,2007,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
movie,The Avengers,Joss Whedon,2012,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.
movie,Inglourious Basterds,Quentin Tarantino,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
movie,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
movie,Ghostbusters,Paul Feig,2016,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
movie,Inception,Christopher Nolan,2010,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
movie,Captain Fantastic,Matt Ross,2016,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
movie,The Wolf of Wall Street,Martin Scorsese,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
movie,Gone Girl,David Fincher,2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
movie,Furious Seven,James Wan,2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
movie,Jurassic World,Colin Trevorrow,2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
movie,Live by Night,Ben Affleck,2016,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan."
movie,Avatar,James Cameron,2009,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
movie,The Hateful Eight,Quentin Tarantino,2015,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
movie,The Accountant,Gavin O'Connor,2016,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
movie,Prisoners,Denis Villeneuve,2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
movie,Warcraft,Duncan Jones,2016,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
movie,The Help,Tate Taylor,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
movie,War Dogs,Todd Phillips,2016,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan."
movie,Avengers: Age of Ultron,Joss Whedon,2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
movie,The Nice Guys,Shane Black,2016,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
movie,Kimi no na wa,Makoto Shinkai,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
movie,The Void,Jeremy Gillespie,2016,"Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures."
movie,Personal Shopper,Olivier Assayas,2016,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.
movie,The Departed,Martin Scorsese,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
movie,Legend,Brian Helgeland,2015,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
movie,Thor,Kenneth Branagh,2011,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
movie,The Martian,Ridley Scott,2015,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
movie,Contratiempo,Oriol Paulo,2016,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.
movie,The Man from U.N.C.L.E.,Guy Ritchie,2015,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
movie,Hell or High Water,David Mackenzie,2016,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
movie,The Comedian,Taylor Hackford,2016,A look at the life of an aging insult comic named Jack Burke.
movie,The Legend of Tarzan,David Yates,2016,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
movie,All We Had,Katie Holmes,2016,A mother struggles to make a better life for her daughter.
movie,Ex Machina,Alex Garland,2014,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.
movie,The Belko Experiment,Greg McLean,2016,"In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
movie,12 Years a Slave,Steve McQueen,2013,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
movie,The Bad Batch,Ana Lily Amirpour,2016,A dystopian love story in a Texas wasteland and set in a community of cannibals.
movie,300,Zack Snyder,2006,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
movie,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
movie,Office Christmas Party,Josh Gordon,2016,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."
movie,The Neon Demon,Nicolas Winding Refn,2016,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
movie,Dangal,Nitesh Tiwari,2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
movie,10 Cloverfield Lane,Dan Trachtenberg,2016,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
movie,Finding Dory,Andrew Stanton,2016,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
movie,Miss Peregrine's Home for Peculiar Children,Tim Burton,2016,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
movie,Divergent,Neil Burger,2014,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
movie,Mike and Dave Need Wedding Dates,Jake Szymanski,2016,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
movie,Boyka: Undisputed IV,Todor Chapkanov,2016,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for."
movie,The Dark Knight Rises,Christopher Nolan,2012,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
movie,The Jungle Book,Jon Favreau,2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo."
movie,Transformers: Age of Extinction,Michael Bay,2014,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help."
movie,Nerve,Henry Joost,2016,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
movie,Mamma Mia!,Phyllida Lloyd,2008,The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.
movie,The Revenant,Alejandro González Iñárritu,2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
movie,Fences,Denzel Washington,2016,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
movie,Into the Woods,Rob Marshall,2014,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
movie,The Shallows,Jaume Collet-Serra,2016,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
movie,Whiplash,Damien Chazelle,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
movie,Furious 6,Justin Lin,2013,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty."
movie,The Place Beyond the Pines,Derek Cianfrance,2012,"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
movie,No Country for Old Men,Ethan Coen,2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
movie,The Great Gatsby,Baz Luhrmann,2013,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
movie,Shutter Island,Martin Scorsese,2010,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane."
movie,Brimstone,Martin Koolhoven,2016,"From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger."
movie,Star Trek,J.J. Abrams,2009,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
movie,Diary of a Wimpy Kid,Thor Freudenthal,2010,"The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
movie,The Big Short,Adam McKay,2015,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight."
movie,Room,Lenny Abrahamson,2015,A young boy is raised within the confines of a small shed.
movie,Django Unchained,Quentin Tarantino,2012,"With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
movie,Ah-ga-ssi,Chan-wook Park,2016,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
movie,The Edge of Seventeen,Kelly Fremon Craig,2016,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
movie,Watchmen,Zack Snyder,2009,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
movie,Superbad,Greg Mottola,2007,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
movie,Inferno,Ron Howard,2016,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
movie,The BFG,Steven Spielberg,2016,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
movie,The Hunger Games,Gary Ross,2012,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
movie,White Girl,Elizabeth Wood,2016,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back."
movie,Sicario,Denis Villeneuve,2015,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
movie,Twin Peaks: The Missing Pieces,David Lynch,2014,Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.
movie,Aliens vs Predator - Requiem,Colin Strause,2007,"Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival."
movie,Pacific Rim,Guillermo del Toro,2013,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
movie,"Crazy, Stupid, Love.",Glenn Ficarra,2011,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
movie,Scott Pilgrim vs. the World,Edgar Wright,2010,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
movie,Hot Fuzz,Edgar Wright,2007,"Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents."
movie,Mine,Fabio Guaglione,2016,"After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions."
movie,Free Fire,Ben Wheatley,2016,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival."
movie,X-Men: Days of Future Past,Bryan Singer,2014,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
movie,Jack Reacher: Never Go Back,Edward Zwick,2016,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."
movie,Casino Royale,Martin Campbell,2006,"Armed with a licence to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem."
movie,Twilight,Catherine Hardwicke,2008,A teenage girl risks everything when she falls in love with a vampire.
movie,Now You See Me 2,Jon M. Chu,2016,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.
movie,Woman in Gold,Simon Curtis,2015,"Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family."
movie,13 Hours,Michael Bay,2016,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
movie,Spectre,Sam Mendes,2015,"A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
movie,Nightcrawler,Dan Gilroy,2014,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
movie,Kubo and the Two Strings,Travis Knight,2016,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
movie,Beyond the Gates,Jackson Stewart,2016,Two estranged brothers reunite at their missing father's video store and find a VCR board game dubbed 'Beyond The Gates' that holds a connection to their father's disappearance.
movie,Her,Spike Jonze,2013,A lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
movie,Frozen,Chris Buck,2013,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
movie,Tomorrowland,Brad Bird,2015,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
movie,Dawn of the Planet of the Apes,Matt Reeves,2014,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
movie,Tropic Thunder,Ben Stiller,2008,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
movie,The Conjuring 2,James Wan,2016,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.
